Order_Number,Order_Status,Missed_LPNs
6028378010051711,Perfect,
6028384710051751,Short,00100854129313169225
6028386010051766,Short,00100854129313169249
6028386410051769,Perfect,
6028388410051785,Perfect,
6028388810051789,Short,00100854128238306784
6028388910051788,Perfect,
6028389310051789,Perfect,
6028389710051789,Short,00100854129313636550
6028389810051792,Perfect,
6028404610030177,Short,00100854129313635041
6028405310038552,Perfect,
6028497310053071,Perfect,
6028516710053139,Short,"00100854129313650167, 00100854129313650181, 00100854129313650150, 00100854129313650174"
6028734810013944,Perfect,
6028955010055837,Short,"00100854129313640359, 00100854129313640342"
6028960510055889,Perfect,
6029491810041837,Perfect,
6029582410048659,Perfect,
6029679010058882,Perfect,
6029706710030551,Perfect,
6029706810030561,Perfect,
6029707010030554,Short,"00100854129313665161, 00100854129313665154"
6029707110032421,Perfect,
6029708410038553,Perfect,
6029709910033158,Perfect,
6029710110033159,Perfect,
6029710210033160,Perfect,
6029713110044971,Perfect,
6029713510052920,Short,00100854129313857474
6029719410030517,Perfect,
6029721710038543,Perfect,
6029722110041616,Perfect,
602985049988248,Perfect,
6030185310061879,Short,00100854129313637199
6030186910061891,Short,"00100854129313633412, 00100854129313633399, 00100854129313633375, 00100854129313633382"
6030190910061899,Perfect,
6030191110061899,Perfect,
6030191710061905,Perfect,
6030192110061904,Short,00100854129313858907
6030193110061906,Short,00100854129313867633
6030193410061911,Short,00100854129313858617
6030193710061908,Perfect,
6030193910061907,Perfect,
6030194110061914,Short,00100854129313633689
6030196410061931,Short,"00100854129313858938, 00100854129313858921, 00100854129313858914"
6030197210061934,Perfect,
6030197310061935,Short,"00100854129313864205, 00100854129313864199"
6030199010061940,Perfect,
6030199310061940,Short,"00100854129313665307, 00100854129313665291"
6030199510061942,Short,00100854129313864250
6030200010061932,Perfect,
6030200910061954,Perfect,
6030203110061967,Short,00100854129313857047
6030204010061974,Perfect,
6030214710061891,Perfect,
603029819922728,Perfect,
6030298610030971,Perfect,
603055019854623,Perfect,
603055029914077,Short,00100854129313800067
603055039914198,Short,00003033800007136332
603055049970610,Perfect,
603055059970613,Perfect,
603055069970614,Short,00100854129313800029
603055079970657,Perfect,
603055089970659,Perfect,
603055109970664,Short,00003033800007136240
6030551110013959,Perfect,
603055279970660,Short,"00003033800007136325, 00100854129313800012"
6030655110064230,Perfect,
603075169922728,Perfect,
6030768910064601,Perfect,
603079859985603,Perfect,
603079879985759,Perfect,
6030799110030270,Perfect,
603098459972410,Perfect,
603120349934573,Perfect,
603125699940532,Perfect,
603131719977051,Perfect,
603131749977062,Perfect,
603223879868602,Perfect,
603223889868612,Perfect,
603223899868671,Perfect,
603223939868692,Perfect,
603224039914077,Perfect,
603224049914237,Perfect,
603224059914242,Perfect,
603224099928429,Perfect,
603224109928442,Perfect,
603224269958136,Perfect,
603224279958186,Perfect,
603224369993755,Perfect,
603224379993794,Perfect,
6032243910013936,Perfect,
6032244210015516,Perfect,
6032244310016306,Perfect,
6032245410038605,Perfect,
6032245810051776,Perfect,
6032468710078033,Short,"00100854129313800494, 00100854129313800500, 00100854129313800487"
6032469310078039,Short,00100854129313800432
6032469510078041,Short,"00100854129313800524, 00100854129313800531"
6032470310078050,Short,"00100854129313800401, 00100854129313800418"
6032470610078052,Short,"00100854129313800371, 00100854129313800388"
6032471510078051,Short,00100854129313864397
6032473310078055,Short,"00100854129313864359, 00100854129313864342"
6032474710078065,Short,00100854129313637915
6032475110078066,Perfect,
6032475210078066,Perfect,
6032475410078067,Perfect,
6032475710078068,Short,"00100854129313172478, 00100854129313172461, 00100854129313172485"
6032475810078068,Short,00100854129313645026
6032476010078068,Perfect,
6032476110078066,Perfect,
6032476210078068,Perfect,
6032480610078075,Perfect,
6032481210078077,Perfect,
6032481410078083,Perfect,
6032481910078084,Perfect,
6032482910078094,Perfect,
6032483310078093,Perfect,
6032483510078095,Perfect,
6032485210078105,Perfect,
6032485410078108,Short,"00100854129313800616, 00100854129313800623, 00100854129314158501, 00100854129313800609"
6032486210078113,Short,"00100854129313800111, 00100854129313800128, 00100854129313800104"
6032486310078114,Short,"00100854129314158891, 00100854129314158884"
6032486510078115,Short,"00100854129313800593, 00100854129314158518"
6032486610078112,Perfect,
6032487310078119,Perfect,
6032487610078120,Short,"00100854129313800470, 00100854129313800463, 00100854129313800456"
6032488010078123,Short,00100854129313800142
6032489310078133,Perfect,
6032489510078134,Short,"00100854129313637762, 00100854129313637434"
6032490610078141,Short,00100854129313653588
6032492110078185,Perfect,
6032492510078187,Short,00100854128239621831
6032493310078192,Short,"00100854129313800173, 00100854129313800166"
6032493410078193,Short,"00100854129313800340, 00100854129313800333, 00100854129313800357"
6032493610078195,Short,"00100854129314158808, 00100854129314158815, 00100854129314158822, 00100854129314158792"
6032494210078194,Perfect,
6032496910078208,Short,"00100854129313800203, 00100854129313800210, 00100854129313800227"
6032497310078213,Short,"00100854129313800302, 00100854129313800319, 00100854129313800289, 00100854129313800296"
6032497510078215,Perfect,
6032498010078217,Perfect,
6032498410078222,Perfect,
6032509410078842,Short,"00100854129313800272, 00100854129313800258, 00100854129313800265"
6032560310079062,Perfect,
603256129977591,Perfect,
6032564510067847,Perfect,
603257299983600,Short,00100854129313637816
603258159984996,Short,00100854129313637779
603259249989061,Short,00100854129313637533
6032596610031632,Perfect,
6032599610030968,Perfect,
6032599810038526,Perfect,
6032618310018431,Short,"00100854129313637830, 00100854129313637762"
6032632210026129,Short,00100854129313637847
6032726910029763,Perfect,
6032741810031378,Perfect,
6032766210039517,Short,"00100854129313637793, 00100854129313637946"
6032807710042037,Perfect,
6032845510061939,Perfect,
6032852710036206,Perfect,
6032858510058963,Perfect,
603290189742214,Perfect,
603290589797532,Perfect,
603290669797532,Perfect,
